,imf_region,CountryCode,economic_freedom,gni_per_capita,human_development,life_expectancy,average_years_school,political_regime
102,Euro,PRT,7.496775811,31567.688097283706,0.847,82.04899999999998,9.2,10.0
103,Euro,SMR,7.5672253271250005,31567.688097283706,0.8992,84.97200000000002,12.043999999999999,9.583333333333334
104,Euro,SVK,7.308716412000001,31567.688097283706,0.855,77.542,12.5,10.0
105,Euro,SVN,7.044029738,31567.688097283706,0.8959999999999999,81.324,12.2,10.0
106,Euro,SWE,7.431505399,31567.688097283706,0.933,82.79700000000003,12.4,10.0
107,HighIncomeOthers,AUS,7.977567819,43560.0577412082,0.939,83.436,12.9,10.0
108,HighIncomeOthers,CAN,7.9897743289999985,39752.3836140488,0.926,82.434,13.3,10.0
109,HighIncomeOthers,JPN,7.4708013860000015,39752.3836140488,0.909,84.62899999999998,12.8,10.0
110,HighIncomeOthers,KOR,7.501501501,35944.7094868894,0.903,83.03299999999999,12.1,8.0
111,HighIncomeOthers,NZL,8.490329773,39752.3836140488,0.917,82.288,12.5,10.0
112,HighIncomeOthers,USA,8.040992466,39752.3836140488,0.924,78.862,13.4,10.0
113,HighIncomeOthers,VIR,7.911827879,39752.3836140488,0.9196666666666667,80.583,12.833333333333334,9.666666666666666
114,LowIncomeAfrica,BDI,5.932866637,3026.3816204041045,0.417,61.584,3.0,-1.0
115,LowIncomeAfrica,BEN,5.9783895760000005,2061.43306489862,0.515,61.771,3.6,7.0
116,LowIncomeAfrica,BFA,6.059183395,1650.0920959225598,0.423,61.577,1.5,6.0
117,LowIncomeAfrica,BWA,7.4371257910000015,3026.3816204041045,0.7170000000000001,69.592,9.3,8.0
118,LowIncomeAfrica,CAF,5.085648,663.151633091141,0.3670000000000001,53.283,4.3,0.0
119,LowIncomeAfrica,CIV,5.994718394,3481.2253102351397,0.4920000000000001,57.783,5.2,4.0
120,LowIncomeAfrica,CMR,5.844995065,3314.7445844552003,0.556,59.292,6.3,-4.0
121,LowIncomeAfrica,COD,5.679637719,795.826415219178,0.457,60.681,6.8,5.0
122,LowIncomeAfrica,CPV,6.662962575,5983.137565914039,0.654,72.98100000000002,6.1,10.0
123,LowIncomeAfrica,DJI,6.237391568852941,3026.3816204041045,0.476,67.112,4.1,4.0
124,LowIncomeAfrica,ERI,6.237391568852941,3026.3816204041045,0.44,66.321,4.0,-7.0
125,LowIncomeAfrica,ETH,5.746327451,1719.3781762292401,0.463,66.597,2.7,3.4444444444444446
126,LowIncomeAfrica,GAB,5.864793558,16700.5725979277,0.7020000000000001,66.467,8.2,3.0
127,LowIncomeAfrica,GHA,6.601015102000001,4096.17378854456,0.5920000000000001,64.074,7.1,8.0
128,LowIncomeAfrica,GIN,5.9311292,1982.6753584162202,0.459,61.602,2.6,4.0
129,LowIncomeAfrica,GMB,7.359703603,1515.6199834561498,0.46,62.05,3.5,-5.0
130,LowIncomeAfrica,KEN,7.214441717000001,2960.79969894826,0.59,66.699,6.5,9.0
131,LowIncomeAfrica,LBR,6.558400412,3026.3816204041045,0.435,64.104,4.7,6.0
132,LowIncomeAfrica,LSO,6.3817314010000015,3026.3816204041045,0.52,54.331,6.3,8.0
133,LowIncomeAfrica,MDG,6.174695917999999,3026.3816204041045,0.519,67.041,6.1,6.0
134,LowIncomeAfrica,MLI,5.794917503,1952.94600974407,0.4270000000000001,59.306,2.3,5.0
135,LowIncomeAfrica,MOZ,5.479430172000001,1092.6881583374,0.4370000000000001,60.854,3.5,5.0
136,LowIncomeAfrica,MRT,5.9626123889999985,3591.7611960132103,0.52,64.925,4.5,-2.0
137,LowIncomeAfrica,MWI,5.86902225,1064.4165105202999,0.477,64.263,4.5,6.0
138,LowIncomeAfrica,NAM,6.413544685,9387.19590673109,0.647,63.708,6.8,6.0
139,LowIncomeAfrica,NER,5.965836427999999,905.868048614848,0.354,62.42,2.0,6.0
140,LowIncomeAfrica,NGA,6.36072046,3026.3816204041045,0.532,54.687,6.2,7.0
141,LowIncomeAfrica,RWA,7.483949815,1811.22353144362,0.524,69.024,4.1,-3.0
142,LowIncomeAfrica,SEN,6.199727938,2384.1772990127397,0.505,67.941,3.0,7.0
143,LowIncomeAfrica,SLE,5.7445529870000005,3026.3816204041045,0.419,54.69600000000001,3.5,7.0
144,LowIncomeAfrica,SSD,6.237391568852941,3026.3816204041045,0.388,57.846,4.8,0.0
145,LowIncomeAfrica,TCD,5.456090431,1750.18569663616,0.404,54.239,2.3,-2.0
